offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,SPAC IPO ,Date of IPO,IS_SPAC
20160224,Silver Run Acquisition Corp,SRAQU,82811P200,0,0,1,0,45000000,16021,-99,,,,Silver Run Acquisition Corp.,2/29/2016,True
20160303,Jensyn Acquisition Corp,JSYNU,47632B201,0,0,1,0,5213400,16012,2014,,,,Jensyn Acquisition Corp.,3/7/2016,True
20160526,Landcadia Holdings II Inc,LCAHU,51476W206,0,0,1,0,30000000,16173,2008,,,,"Landcadia Holdings, Inc.",6/1/2016,True
20160707,M III Acquisition Corp,MIIIU,55378T203,0,0,1,0,-9,16261,-99,,,,M III Acquisition Corp.,7/7/2016,True
20160916,Saban Capital Acquisition Corp,SCACU,78516C205,0,0,1,0,28500000,16470,2016,,,,Saban Capital Acquisition Corp.,9/21/2016,True
20170112,Gores Holdings II Inc,GSHTU,382867208,0,0,1,0,46875000,16631,2016,,,,"Gores Holdings II, Inc.",1/12/2017,True
20170120,Fintech Acquisition Corp II,FNTEU,31810G208,0,0,1,0,20960000,16630,-99,,,,FinTech Acquisition Corp. II,1/19/2017,True
20170407,Forum Merger Corp,FMCI,34985B202,0,0,1,0,18593750,16704,-99,,,,Forum Merger Corp.,4/12/2017,True
20170410,Vantage Energy Acq Corp,VEACU,92211L204,0,0,1,0,60000000,16683,2017,,,,Vantage Energy Acquisition Corp.,4/17/2017,True
20170504,TPG Pace Energy Holdings Corp,TPGEU,872656202,0,0,1,0,75000000,16771,2017,,,,TPG Pace Energy Holdings Corp.,5/10/2017,True
20170512,Modern Media Acquisition Corp,MMDMU,60765P202,0,0,1,0,18000000,16789,2014,,,,Modern Media Acquisition Corp.,5/17/2017,True
20170622,Hennessy Capital Acq Corp III,HCAC.,42588L204,0,0,1,0,28125000,16864,2017,,,,Hennessy Capital Acquisition Corp. III,6/23/2017,True
20170719,Federal Street Acq Corp,FSACU,31421V206,0,0,1,0,40000000,16925,2017,,,,Federal Street Acquisition Corp.,7/24/2017,True
20170721,Osprey Energy Acquisition Corp,OSPRU,688397207,0,0,1,0,25000000,16905,2016,,,,Osprey Energy Acquisition Corp.,7/26/2017,True
20170727,Pensare Acquisition Corp,WRLS,70957E204,0,0,1,0,27000000,16911,2016,,,,Pensare Acquisition Corp.,8/1/2017,True
20170809,Atlantic Acquisition Corp,ATACU,048206205,0,0,1,0,5150000,16922,2017,,,,Atlantic Acquisition Corp.,8/14/2017,True
20170817,I-AM CAPITAL ACQUISITION Co,IAMXU,45074Q207,0,0,1,0,5254500,16988,2017,,,,I-AM Capital Acquisition Co.,8/22/2017,True
20170915,Draper Oakwood Tech Acq Inc,DOTAU,26146L202,0,0,1,0,7187500,16980,2017,,,,Draper Oakwood Technology Acquisition Inc.,9/15/2017,True
20171005,Black Ridge Acquisition Corp,BRACU,09216T206,0,0,1,0,17200000,16975,2017,,,,Black Ridge Acquisition Corp.,10/10/2017,True
20171024,Haymaker Acq Corp,HYACU,420870206,0,0,1,0,33000000,17114,2017,,,,Haymaker Acquisition Corp.,10/27/2017,True
20171117,Legacy Acquisition,LGCU,524643202,.,0,1,0,37500000,17090,2016,,,,Legacy Acquisition Corp.,11/17/2017,True
20171121,Big Rock Partners Acq Corp,BRPAU,089482202,0,0,1,0,7725000,17134,2017,,,,Big Rock Acquisition Partners Corp.,11/22/2017,True
20171201,Leisure Acquisition Corp,LACQU,52539T206,0,0,1,0,25000000,17147,2017,,,,Leisure Acquisition Corp.,12/5/2017,True
20171208,Gigcapital Inc,GIG U,37518N205,0,0,1,0,16114500,17245,2017,,,,"GigCapital, Inc.",12/8/2017,True
20180109,Nebula Acquisition Corp,NEBU.,629076209,0,0,1,0,31250000,17367,2017,,,,Nebula Acquisition Corp.,1/12/2018,True
20180124,Gordon Pointe Acq Corp.,GPAQU,382788206,0,0,1,0,15625000,17361,2017,,,,Gordon Pointe Acquisition Corp.,1/30/2018,True
20180216,DFB Healthcare Acqs Corp,DFBHU,23291E208,0,0,1,0,25000000,17684,2017,,,,DFB Healthcare Acquisition Corp.,2/21/2018,True
20180314,Opes Acq Corp.,OPESU,68373P209,0,0,1,0,14400000,17369,2017,,,,Opes Acquisition Corp.,3/16/2018,True
20180316,Tiberius Acq Corp,TIBRU,88633A206,0,1,1,0,18750000,17696,2015,,,,Tiberius Acquisition Corp.,3/20/2018,True
20180413,Pure Acquisition Corp,PACQU,74621Q205,0,0,1,0,50400000,17819,2017,,,,Pure Acquisition Corp.,4/17/2018,True
